codice_territorio,comune,2014,2015,2016,2017
"067024","Fano Adriano","28.44","20.03","10.27","24.73",
"067025","Giulianova","9.95","11.84","12.03","11.99",
"067026","Isola del Gran Sasso d'Italia","13.34","12.98","9.02","12.92",
"067027","Montefino","14.31","5.82","11.65","15.6",
"067028","Montorio al Vomano","11.03","10.57","12.5","11.66",
"067029","Morro d'Oro","8.75","11.47","11.27","16.09",
"067030","Mosciano Sant'Angelo","8.69","11.37","8.26","10.3",
"067031","Nereto","10.9","14.91","9.14","10.75",
"067032","Notaresco","11.91","13.48","9.31","12.4",
"067033","Penna Sant'Andrea","9.24","8.74","10.4","11.91",
"067034","Pietracamela","21.16","21.86","18.73","31.13",
"067035","Pineto","9.12","8.95","9.29","8.29",
"067036","Rocca Santa Maria","25.32","24.01","24.69","15.72",
"067037","Roseto degli Abruzzi","9.11","9.52","9.89","11.76",
"067038","Sant'Egidio alla Vibrata","9.03","9.09","7.77","8.3",
"067039","Sant'Omero","11.14","10.56","10.64","10.37",
"067040","Silvi","7.71","7.63","9.08","9.43",
"067041","Teramo","10.19","11.89","11.07","12.1",
"067042","Torano Nuovo","11.64","13","11.22","13.2",
"067043","Torricella Sicura","12.4","17.39","7.96","14.08",
"067044","Tortoreto","7.33","8.34","7.51","10.09",
"067045","Tossicia","13.51","11.4","15.79","19.9",
"067046","Valle Castellana","12.78","18.16","24.68","16.67",
"067047","Martinsicuro","9.04","9.01","7.16","9.85",
"068001","Abbateggio","19.54","9.93","17.68","20.97",
"068002","Alanno","13.27","11.14","14.34","19.56",
"068003","Bolognano","13.18","8.04","19.99","10.97",
"068004","Brittoli","9.84","27.03","13.89","17.92",
"068005","Bussi sul Tirino","18.55","12.6","15.21","13.8",
"068006","Cappelle sul Tavo","9.89","10.68","7.47","8.72",
"068007","Caramanico Terme","11.68","12.85","8.8","16.29",
"068008","Carpineto della Nora","2.97","19.56","10.7","9.45",
"068009","Castiglione a Casauria","11.84","13.09","10.81","30.56",
"068010","Catignano","17.69","12.83","15.87","17.71",
"068011","Cepagatti","8.84","9.68","9.98","7.65",
"068012","Città Sant'Angelo","8.87","8.63","9.06","10.9",
"068013","Civitaquana","14.71","17.41","12.91","13.03",
"068014","Civitella Casanova","11.92","13.14","21.71","16.4",
"068015","Collecorvino","8.66","12.35","8.83","8.95",
"068016","Corvara","22.51","19.23","15.9","33.4",
"068017","Cugnoli","12.25","10.5","12.01","12.85",
"068018","Elice","12.82","15.74","12.79","14.04",
"068019","Farindola","12.88","25.44","21.97","17.68",
"068020","Lettomanoppello","12.3","11.04","8.78","12.69",
"068021","Loreto Aprutino","10.86","11.32","12.37","10.84",
"068022","Manoppello","8.42","8.58","9.14","10.34",
"068023","Montebello di Bertona","12.1","15.14","18.36","13.58",
"068024","Montesilvano","8.06","8.74","7.4","8.09",
"068025","Moscufo","12.01","11.2","11.64","13.28",
"068026","Nocciano","10.85","8.8","6.63","11.09",
"068027","Penne","10.64","12.47","11.04","11.6",
"068028","Pescara","11.05","12.29","10.99","12.21",
"068029","Pescosansonesco","22.99","13.53","9.72","11.89",
"068030","Pianella","10.06","9.42","9.74","9.04",
"068031","Picciano","9.46","8.07","10.34","13.32",
"068032","Pietranico","7.99","14.23","14.51","14.61",
"068033","Popoli","14.47","11.74","10.3","16.35",
"068034","Roccamorice","18.52","18.01","12.88","10.79",
"068035","Rosciano","9.3","7.96","8.69","9.4",
"068036","Salle","15.75","9.62","19.77","6.78",
"068037","Sant'Eufemia a Maiella","17.61","21.35","25.59","18.8",
"068038","San Valentino in Abruzzo Citeriore","13.98","11.95","11.45","14.09",
"068039","Scafa","13.86","11.38","10.43","13.02",
"068040","Serramonacesca","10.5","17.73","26.64","16.13",
"068041","Spoltore","8.89","7.55","7.59","8.78",
"068042","Tocco da Casauria","13.55","14.42","8.6","7.92",
"068043","Torre de' Passeri","9.79","12.34","10.25","11.73",
"068044","Turrivalignani","12.42","10.38","16.27","9.14",
"068045","Vicoli","7.63","23.11","5.11","20.75",
"068046","Villa Celiera","20.82","18.61","19.26","25.74",
"069001","Altino","7.66","11.81","7.49","7.76",
"069002","Archi","11.63","14.91","16.41","19.91",
"069003","Ari","15.2","15.27","9.5","22.66",
"069004","Arielli","12.21","9.63","7.92","12.33",
"069005","Atessa","10.89","12.18","12.64","14.09",
"069006","Bomba","18.98","14.59","13.62","20.2",
"069007","Borrello","13.68","19.47","34.43","20.65",
"069008","Bucchianico","13.08","11.8","12.82","11.41",
"069009","Montebello sul Sangro","10.87","67.04","22.22","55.56",
"069010","Canosa Sannita","7.74","15.07","7.26","15.42",
"069011","Carpineto Sinello","20.75","19.5","24.9","25.62",
"069012","Carunchio","17.99","23.24","13.03","18.93",
"069013","Casacanditella","10.51","18.2","15.3","24.13",
"069014","Casalanguida","16.74","16.02","12","20",
"069015","Casalbordino","11.4","13.74","12.85","15.22",
"069016","Casalincontrada","13.18","9.07","8.82","10.83",
"069017","Casoli","13.97","15.92","12.56","16.21",
"069018","Castel Frentano","13.79","12.65","13.99","10.28",
"069019","Castelguidone","12.67","12.92","29.37","16.44",
"069020","Castiglione Messer Marino","17.5","17.18","20.92","17.92",
"069021","Celenza sul Trigno","20.42","15.28","23.14","25.5",
"069022","Chieti","10.73","12.02","11.63","12.52",
"069023","Civitaluparella","22.32","14.1","17.39","21.02",
"069024","Civitella Messer Raimondo","19.69","24.5","19.05","13.33",
"069025","Colledimacine","24.39","19.75","50.89","26.39",
"069026","Colledimezzo","17.14","27.21","6.02","24.64",
"069027","Crecchio","14.74","13.07","14.26","14.03",
"069028","Cupello","13.19","9.1","9.54","9.96",
"069029","Dogliola","13.62","19.28","16.74","25.57",
"069030","Fara Filiorum Petri","13.38","9.78","11.8","10.15",
"069031","Fara San Martino","15.03","12.58","11.38","20.16",
"069032","Filetto","13.01","21.36","17.56","20.19",
"069033","Fossacesia","9.5","13.93","8.97","8.03",
"069034","Fraine","22.5","17.62","12.07","31.06",
"069035","Francavilla al Mare","7.91","10.03","9.38","9.1",
"069036","Fresagrandinaria","20.05","15.44","13.56","14.72",
"069037","Frisa","13.8","11.22","15.42","12.67",
"069038","Furci","25.34","21","21.67","15.99",
"069039","Gamberale","30.86","15.53","6.35","26.23",
"069040","Gessopalena","17.07","19.38","19.02","18.08",
"069041","Gissi","13.87","12.68","13.97","15.72",
"069042","Giuliano Teatino","11.75","13.48","9.64","15.44",
"069043","Guardiagrele","13.82","14.05","10.48","13.11",
"069044","Guilmi","25.58","16.49","23.78","24.04",
"069045","Lama dei Peligni","16.74","9.34","16.66","25.31",
"069046","Lanciano","10.29","10.78","11.15","10.99",
"069047","Lentella","9.89","12.98","17.35","11.36",
"069048","Lettopalena","5.37","22.04","14.12","14.51",
"069049","Liscia","14.08","14.07","18.31","17.06",
"069050","Miglianico","9.46","11.36","9.55","12.14",
"069051","Montazzoli","14.22","15.37","13.57","12.8",
"069052","Monteferrante","7.43","38.02","23.35","23.9",
"069053","Montelapiano","46.78","0","24.24","61.73",
"069054","Montenerodomo","11.19","18.56","17.54","22.49",
"069055","Monteodorisio","10.69","12.71","11.61","9.28",
"069056","Mozzagrogna","11.81","10.01","11.2","9.87",
"069057","Orsogna","10.96","10.31","14.55","16.1",
"069058","Ortona","11.68","12.16","10.15","12.37",
"069059","Paglieta","10.41","15.04","13.79","16.44",
"069060","Palena","10.73","16.49","18.16","17.07",
"069061","Palmoli","15.71","26.64","12.92","19.4",
"069062","Palombaro","21.07","19.45","13.78","22.92",
"069063","Pennadomo","20.44","28.22","18.21","34.42",
"069064","Pennapiedimonte","27.59","32.89","19.15","28.6",
"069065","Perano","15.23","12.84","12.98","11.88",
"069066","Pizzoferrato","15.17","20.03","14.33","11.09",
"069067","Poggiofiorito","5.63","13.72","11.44","17.25",
"069068","Pollutri","17.19","11.04","17.38","15.41",
"069069","Pretoro","8.35","13.76","13.9","17.88",
"069070","Quadri","9.59","15.79","12.35","22.76",
"069071","Rapino","14.29","9.82","19.98","11.72",
"069072","Ripa Teatina","9.89","10.24","8.81","8.85",
"069073","Roccamontepiano","13.72","13.94","17.76","16.75",
"069074","Rocca San Giovanni","8.78","14.34","10.67","15.02",
"069075","Roccascalegna","17.47","18.65","19.06","17.74",
"069076","Roccaspinalveti","10.89","13.28","17.35","19.33",
"069077","Roio del Sangro","20.41","68.63","28.99","39.02",
"069078","Rosello","15.87","24.69","34.04","30.5",
"069079","San Buono","15.02","22.47","18.8","18.12",
"069080","San Giovanni Lipioni","19.95","36.75","16.62","47.06",
"069081","San Giovanni Teatino","6.71","6.72","8.22","8.42",
"069082","San Martino sulla Marrucina","12.71","12.76","10.64","11.84",
"069083","San Salvo","5.94","7.06","8.58","7.41",
"069084","Santa Maria Imbaro","3.54","7","9.48","9.94",
"069085","Sant'Eusanio del Sangro","13.17","13.95","11.59","14.5",
"069086","San Vito Chietino","10.78","12.63","12.86","14.28",
"069087","Scerni","14.73","16.96","14.66","18.81",
"069088","Schiavi di Abruzzo","28.99","41.28","55.99","24.48",
"069089","Taranta Peligna","21.11","26.53","29.61","30.56",
"069090","Tollo","12.72","11.54","13.04","11.69",
"069091","Torino di Sangro","11.24","10.4","15.32","11.3",
"069092","Tornareccio","16.05","12.98","13.17","18.38",
"069093","Torrebruna","25.29","21.39","13.37","14.81",
"069094","Torrevecchia Teatina","11.07","11.82","12.11","11.41",
"069095","Torricella Peligna","16","18.38","11.87","22.78",
"069096","Treglio","6.84","6.81","7.9","11.97",
"069097","Tufillo","23.39","36.28","9.88","27.71",
"069098","Vacri","14.78","10.07","19.12","22.47",
"069099","Vasto","8.96","9.69","8.4","8.87",
"069100","Villalfonsina","10.33","22.96","17.81","11.52",
"069101","Villamagna","12.87","11.38","12.81","13.37",
"069102","Villa Santa Maria","13.74","16.99","16.25","23.71",
"069103","Pietraferrazzana","15.27","15.09","22.14","14.81",
"069104","Fallo","29.74","29.41","7.14","14.34",
"070001","Acquaviva Collecroce","11.98","4.49","12.07","23.11",
"070002","Baranello","11.14","11.19","12.79","14.44",
"070003","Bojano","8.64","10.17","9.04","10.94",
"070004","Bonefro","20.82","23.55","21.24","14.19",
"070005","Busso","15.96","24.04","16.73","18.76",
"070006","Campobasso","9.39","10.36","9.11","9.84",
"070007","Campochiaro","7.55","12.26","22.01","15.86",
"070008","Campodipietra","8.08","10.05","8.66","8.36",
"070009","Campolieto","21.71","27.07","11.75","12.68",
"070010","Campomarino","8.56","9.21","7.38","11.45",
"070011","Casacalenda","17.3","16.89","17.38","15.34",
"070012","Casalciprano","24.52","22.91","8.98","25.85",
"070013","Castelbottaccio","15.58","22.12","26.27","59.54",
"070014","Castellino del Biferno","14.44","19.98","16.41","21.66",
"070015","Castelmauro","32.02","26.9","20.79","26",
"070016","Castropignano","16.33","17.72","11.71","12.94",
"070017","Cercemaggiore","10.96","14.76","10.35","13.1",
"070018","Cercepiccola","10.29","11.72","14.84","18.13",
"070019","Civitacampomarano","23.28","16.65","29.23","22.81",
"070020","Colle d'Anchise","11.01","18.5","22.4","15.08",
"070021","Colletorto","17.01","22.96","11.41","17.97",
"070022","Duronia","32.6","19.3","19.8","22.22",
"070023","Ferrazzano","6.04","7.51","6.61","8.15",
"070024","Fossalto","17.45","13.28","12.04","15.34",
"070025","Gambatesa","10.11","19.67","19.84","16.6",
"070026","Gildone","18.29","12.26","11.18","20.15",
"070027","Guardialfiera","14.85","14.95","16.05","13.35",
"070028","Guardiaregia","15.96","9.92","11.24","22.78",
"070029","Guglionesi","9.81","12.34","10.74","12.14",
"070030","Jelsi","17.99","8.45","11.25","16.36",
"070031","Larino","9.44","12.74","10.94","11.48",
"070032","Limosano","7.66","15.52","14.42","13.32",
"070033","Lucito","20.69","19.79","21.87","20.86",
"070034","Lupara","25.07","17.65","30.09","24.62",
"070035","Macchia Valfortore","23.55","25.73","27.78","22.69",
"070036","Mafalda","13.82","7.38","14.14","15.99",
"070037","Matrice","12.63","16.19","8.94","8.06",
"070038","Mirabello Sannitico","5.5","10.09","9.68","10.72",
"070039","Molise","39.89","41.3","12.01","18.07",
"070040","Monacilioni","24.03","20.72","19.25","25.92",
"070041","Montagano","16.12","12.81","18.46","15.89",
"070042","Montecilfone","16.76","22.12","18.57","16.3",
"070043","Montefalcone nel Sannio","15.67","19.1","14.89","13.15",
"070044","Montelongo","8.05","24.36","19.23","19.44",
"070045","Montemitro","19.18","22.25","29.02","33.57",
"070046","Montenero di Bisaccia","13.11","13.38","12.32","13.43",
"070047","Montorio nei Frentani","27.3","27.4","32.75","17.05",
"070048","Morrone del Sannio","13.03","41.7","15.35","17.21",
"070049","Oratino","6.06","13.9","6.64","11.93",
"070050","Palata","8.55","18.97","11.05","16.52",
"070051","Petacciato","10.05","8.54","10.16","11.47",
"070052","Petrella Tifernina","11.65","21.12","13.7","22.65",
"070053","Pietracatella","15.17","14.55","13.99","18.88",
"070054","Pietracupa","31.32","64.52","60.61","47.39",
"070055","Portocannone","10.87","18.36","11.4","12.73",
"070056","Provvidenti","25.1","0","34.04","17.54",
"070057","Riccia","9.95","13.03","13.41","15.3",
"070058","Ripabottoni","17.36","15.52","15.72","28.99",
"070059","Ripalimosani","11.86","8.02","8.34","8.68",
"070060","Roccavivara","13.24","11.6","13.56","16.23",
"070061","Rotello","13.39","10.82","10.77","10.87",
"070062","Salcito","19.77","8.73","17.51","19.2",
"070063","San Biase","20.36","31.33","37.84","33.9",
"070064","San Felice del Molise","15.14","20.14","17.41","14.4",
"070065","San Giacomo degli Schiavoni","11.17","9.18","7.71","12.61",
"070066","San Giovanni in Galdo","19.98","22.15","17.44","10.69",
"070067","San Giuliano del Sannio","10.61","15.52","10.81","15.99",
"070068","San Giuliano di Puglia","7.54","18.08","7.7","15.53",
"070069","San Martino in Pensilis","11.01","9.17","8.78","10.5",
"070070","San Massimo","10.44","9.37","9.29","8.05",
"070071","San Polo Matese","14.86","8.48","8.5","6.29",
"070072","Santa Croce di Magliano","12.59","12.09","13.15","13.51",
"070073","Sant'Angelo Limosano","11.36","17.02","2.86","11.51",
"070074","Sant'Elia a Pianisi","17.14","19.07","25.14","21.18",
"070075","Sepino","14.1","15.27","15.39","15.09",
"070076","Spinete","14.05","14.26","16.04","17.25",
"070077","Tavenna","32.19","33.06","25.48","32.12",
"070078","Termoli","7.78","9.48","8.69","8.54",
"070079","Torella del Sannio","17.43","7.54","20.42","26.13",
"070080","Toro","9.93","14.35","15.31","13.43",
"070081","Trivento","12.15","11.39","11.25","8.55",
"070082","Tufara","12.67","16.07","26.32","17.92",
"070083","Ururi","14.9","17.35","11.47","15.28",
"070084","Vinchiaturo","7.58","9.36","9.3","9.61",
"071001","Accadia","14.01","12.56","13.06","15.71",
"071002","Alberona","12.09","14.19","15.27","18.6",
"071003","Anzano di Puglia","16.48","18.54","15.67","14.44",
"071004","Apricena","8.56","7.92","9.62","10.2",
"071005","Ascoli Satriano","10.31","10.37","8.84","12.45",
"071006","Biccari","12.33","14.2","15.09","13.02",
"071007","Bovino","16.08","16.13","16.1","15.92",
"071008","Cagnano Varano","8.65","10.73","9.31","11.88",
"071009","Candela","9.67","11.11","14.47","12.17",
"071010","Carapelle","5.19","5.21","5.59","5.24",
"071011","Carlantino","22.58","20.12","16.61","10.51",
"071012","Carpino","12.9","19.47","15.62","12.14",
"071013","Casalnuovo Monterotaro","15.02","11.45","13.59","19.72",
"071014","Casalvecchio di Puglia","9.04","9.58","16.56","18.9",
"071015","Castelluccio dei Sauri","10.68","8.85","10.39","10.93",
"071016","Castelluccio Valmaggiore","12","13.58","17.59","13.21",
"071017","Castelnuovo della Daunia","13.55","17.22","16.01","14.9",
"071018","Celenza Valfortore","16.95","19.79","12.58","26.36",
"071019","Celle di San Vito","18.13","12.05","18.29","12.42",
"071020","Cerignola","7.29","8.55","7.3","8.15",
"071021","Chieuti","9.32","12.34","14.21","13.12",
"071022","Deliceto","12.13","14.04","14.19","15.98",
"071023","Faeto","10.93","20.55","16.03","8.01",
"071024","Foggia","8.92","9.3","9.07","9.78",
"071025","Ischitella","12.26","10.99","12.64","13.58",
"071026","Isole Tremiti","10.83","8.59","6.26","16.34",
"071027","Lesina","8.16","9.37","11.28","9.29",
"071028","Lucera","8.9","9.41","8.81","10.61",
"071029","Manfredonia","8.08","8.6","8.52","8.96",
"071031","Mattinata","8.96","9.87","9.03","11.77",
"071032","Monteleone di Puglia","14.46","15.54","17.64","14.71",
"071033","Monte Sant'Angelo","9.8","11.93","12.15","12.78",
"071034","Motta Montecorvino","30.56","23.05","13.81","16.78",
"071035","Orsara di Puglia","11.39","14.38","13.81","11.39",
"071036","Orta Nova","7.84","9.55","8.09","10.03",
"071037","Panni","23.04","23.4","23.85","25.59",
"071038","Peschici","7.88","9.47","8.86","10.88",
"071039","Pietramontecorvino","10.63","11.03","10.33","13.78",
"071040","Poggio Imperiale","11.17","8.4","14.33","14.03",
"071041","Rignano Garganico","11.54","14.04","13.94","8.37",
"071042","Rocchetta Sant'Antonio","12.19","16.51","12.37","14.2",
"071043","Rodi Garganico","10.78","11.9","9.22","14.18",
"071044","Roseto Valfortore","10.05","16.63","14.84","11.12",
"071046","San Giovanni Rotondo","7.79","8.68","7.84","9.2",
"071047","San Marco in Lamis","8.94","10.23","9.94","9.08",
"071048","San Marco la Catola","18.3","12.73","19.98","31.71",
"071049","San Nicandro Garganico","12.27","14.18","13.49","10.7",
"071050","San Paolo di Civitate","9.23","11.32","10","12.16",
"071051","San Severo","8.42","10.18","8.59","9.6",
"071052","Sant'Agata di Puglia","16.8","19.67","13.89","18.24",
"071053","Serracapriola","14.35","16.87","12.45","17.65",
"071054","Stornara","7.27","6.14","5.91","7.26",
"071055","Stornarella","9.36","8.71","7.98","5.96",
"071056","Torremaggiore","8.79","10.55","9.56","10.5",
"071058","Troia","8.09","10.79","10.46","10.81",
"071059","Vico del Gargano","9.73","10.94","9.17","12.08",
"071060","Vieste","7.38","8.58","7.52","8.53",
"071061","Volturara Appula","32.57","42.99","21.28","36.72",
"071062","Volturino","17.8","17.24","17.95","18.28",
"071063","Ordona","6.21","3.94","7.78","9.16",
"071064","Zapponeta","6.14","6.75","5.57","5.81",
"072001","Acquaviva delle Fonti","9.18","9.92","7.75","10.74",
"072002","Adelfia","9.27","9.27","8.39","9.5",
"072003","Alberobello","12.18","9.94","10.06","11.09",
"072004","Altamura","6.29","6.81","7.05","7.7",
"072006","Bari","10.06","9.93","9.72","10.39",
"072008","Binetto","6.31","4.05","5.79","8.02",
"072010","Bitetto","6.61","7.18","7.76","7.67",
"072011","Bitonto","7.07","7.79","7.36","7.55",
"072012","Bitritto","5.8","8.7","5.94","7.44",
"072014","Capurso","8.72","7.82","8.4","8.1",
"072015","Casamassima","6.7","8.53","7.95","8.98",
"072016","Cassano delle Murge","9.08","9.39","8.88","10.56",
"072017","Castellana Grotte","8.08","10.48","9.45","9.66",
"072018","Cellamare","7.49","5.9","6.23","7.08",
"072019","Conversano","7.72","8.65","9.1","7.99",
"072020","Corato","8.18","9.44","8.3","9.11",
"072021","Gioia del Colle","10.94","10.56","10.18","9.98",
"072022","Giovinazzo","7.83","9.84","8.95","7.76",
"072023","Gravina in Puglia","6.78","6.97","6.96","6.78",
"072024","Grumo Appula","8.3","9.78","7.68","9.56",
"072025","Locorotondo","11.36","11.47","9.82","10.02",
"072027","Modugno","6.49","7.24","6.83","7.31",
"072028","Mola di Bari","9.04","9.63","9.48","9.11",
"072029","Molfetta","9.78","10.34","9.59","11.3",
"072030","Monopoli","8.85","9.53","8.46","9.2",
"072031","Noci","8.78","11.23","10.18","10.18",
"072032","Noicattaro","7.11","7.55","6.68","7.18",
"072033","Palo del Colle","7.15","7.52","7.08","8.13",
"072034","Poggiorsini","10","6.32","2.72","12.05",
"072035","Polignano a Mare","8.01","8.16","9.1","10.32",
"072036","Putignano","9.06","9.05","9.51","8.98",
"072037","Rutigliano","8.53","8.68","9.34","8.92",
"072038","Ruvo di Puglia","8.12","10.1","9.06","9.85",
"072039","Sammichele di Bari","13.09","15.15","10.41","12.35",
"072040","Sannicandro di Bari","7.87","9.45","7.03","9.47",
"072041","Santeramo in Colle","7.98","8.66","8.19","7.73",
"072043","Terlizzi","6.79","8.47","8.05","8.58",
"072044","Toritto","8.44","8.33","10.12","10.35",
"072046","Triggiano","8.14","8.74","7.26","10.33",
"072047","Turi","11.01","9.5","10.27","9.73",
"072048","Valenzano","6.44","7.67","7.45","8.24",
"073001","Avetrana","11.86","10.83","11.56","10.97",
"073002","Carosino","7.5","8.52","8.54","9.52",
"073003","Castellaneta","9.59","10.24","10.51","9.25",
"073004","Crispiano","6.75","8.4","8.49","9.9",
"073005","Faggiano","4.46","12.88","8.18","11.64",
"073006","Fragagnano","8.67","7.38","9.86","10.28",
"073007","Ginosa","9.49","9.48","9.69","10.81",
"073008","Grottaglie","8.28","8.96","7.89","10",
"073009","Laterza","8.05","7.98","8.77","10.71",
"073010","Leporano","5.48","7.07","5.81","7.41",
"073011","Lizzano","8.56","9.57","8.41","9.86",
"073012","Manduria","10.09","10.26","10.29","11.68",
"073013","Martina Franca","8.8","11.02","9.78","10.26",
"073014","Maruggio","9.06","13.18","11.61","12.91",
"073015","Massafra","8.22","8.43","8.12","8.69",
"073016","Monteiasi","9.84","5.17","8.72","9.29",
"073017","Montemesola","10.69","12.06","12.51","8.28",
"073018","Monteparano","9.48","10.26","16.1","12.97",
"073019","Mottola","9.17","9.72","10.1","9.14",
"073020","Palagianello","7.23","7.88","6.37","8.93",
"073021","Palagiano","9.42","7.76","8.26","7.69",
"073022","Pulsano","8.56","9.69","7.83","7.15",
"073023","Roccaforzata","9.37","9.36","10.4","10.97",
"073024","San Giorgio Ionico","7.32","9.46","5.96","7.72",
"073025","San Marzano di San Giuseppe","6.23","7.1","8.63","8.76",
"073026","Sava","9.38","10.43","10.64","10.81",
"073027","Taranto","10.02","9.6","10.36","10.36",
"073028","Torricella","9","10.45","12.85","10.98",
"073029","Statte","7.13","7.54","8.11","8.95",
"074001","Brindisi","9","9.61","8.45","10.84",
"074002","Carovigno","8.47","10.01","9.2","8.18",
"074003","Ceglie Messapica","11.87","13.44","10.99","12.16",
"074004","Cellino San Marco","12.71","10.76","9.06","11.59",
"074005","Cisternino","11.98","12.02","9.82","13.22",
"074006","Erchie","9.29","8.23","8.06","8.37",
"074007","Fasano","8.71","10.64","9.61","8.61",
"074008","Francavilla Fontana","7.35","8.58","8","9.35",
"074009","Latiano","10.68","11.06","10.05","11.17",
"074010","Mesagne","10.86","11.3","12.41","11.74",
"074011","Oria","11.04","10.04","10.31","10.84",
"074012","Ostuni","11.22","12.24","12.04","10.65",
"074013","San Donaci","12.75","10.61","15.48","12.09",
"074014","San Michele Salentino","9.72","11.94","10.28","11.63",
"074015","San Pancrazio Salentino","9.95","10.7","9.89","11.48",
"074016","San Pietro Vernotico","10.96","13","11.07","12.04",
"074017","San Vito dei Normanni","10.32","12.56","10.71","11.51",
"074018","Torchiarolo","8.62","9.33","7.68","10.3",
"074019","Torre Santa Susanna","7.87","8.75","9.18","8.74",
"074020","Villa Castelli","8.1","7.43","10.19","8.92",
"075001","Acquarica del Capo","10.75","12.1","10.09","14.05",
"075002","Alessano","8.7","10.88","12.45","12.35",
"075003","Alezio","15.68","14.22","11.09","9.1",
"075004","Alliste","10.09","10.35","12.32","11.32",
"075005","Andrano","10.15","10.03","13.07","11.34",
"075006","Aradeo","8.31","11.09","12.03","9.78",
"075007","Arnesano","11.12","8.6","8.34","9.36",
"075008","Bagnolo del Salento","11.28","9.75","6","7.67",
"075009","Botrugno","16.28","11.39","12.22","15.26",
"075010","Calimera","10.81","13.92","12.08","14.48",
"075011","Campi Salentina","11.41","14.04","11.6","11.59",
"075012","Cannole","9.88","10.44","11.11","16.58",
"075013","Caprarica di Lecce","11.89","15.25","14.22","14.4",
"075014","Carmiano","9.28","10.99","9.12","10.56",
"075015","Carpignano Salentino","8.08","10.2","12.38","10.08",
"075016","Casarano","8.55","9.12","10.87","9.84",
"075017","Castri di Lecce","7.48","9.89","12.68","13.74",
"075018","Castrignano de' Greci","13.63","12.47","7.63","12.22",
"075019","Castrignano del Capo","12.95","12.82","13.45","14.16",
"075020","Cavallino","7.01","7.59","6.58","8.81",
"075021","Collepasso","10.93","13.63","13.77","16.44",
"075022","Copertino","8.58","10.53","10.3","9.47",
"075023","Corigliano d'Otranto","9.74","11.84","9.84","11.25",
"075024","Corsano","9.51","7.02","8.14","9.33",
"075025","Cursi","9.74","9.56","10.8","10.88",
"075026","Cutrofiano","12.97","11.99","9.98","10.81",
"075027","Diso","14.55","17.36","12.11","15.86",
"075028","Gagliano del Capo","8.92","11.49","10.25","10.14",
"075029","Galatina","9.94","9.94","10.34","11.2",
"075030","Galatone","10.04","9.78","8.47","10.41",
"075031","Gallipoli","9.92","9.3","9.08","9.51",
"075032","Giuggianello","12.98","13.09","14.85","11.64",
"075033","Giurdignano","8.14","9.66","8.12","11.24",
"075034","Guagnano","10.97","12.94","13.54","14.17",
"075035","Lecce","9.86","11.03","9.72","10.43",
"075036","Lequile","10.04","8.42","8.19","10.49",
"075037","Leverano","7.68","9.12","8.42","10.23",
"075038","Lizzanello","7.96","7.87","7.49","9.3",
"075039","Maglie","10.52","12.78","10.43","12.19",
"075040","Martano","11.13","12.31","11.32","12.83",
"075041","Martignano","17.12","10.14","11.39","14.41",
"075042","Matino","8.91","11.58","9.66","9.77",
"075043","Melendugno","9.21","8.58","9.16","10.43",
"075044","Melissano","10.9","9.18","9.62","9.23",
"075045","Melpignano","12.51","12.53","9.4","8.53",
"075046","Miggiano","9.38","9.77","10.14","9.62",
"075047","Minervino di Lecce","10.01","10.92","9.04","15.17",
"075048","Monteroni di Lecce","8.56","10.59","9.45","10.34",
"075049","Montesano Salentino","10.41","10.83","11.63","10.1",
"075050","Morciano di Leuca","14.73","13.67","14.41","17.08",
"075051","Muro Leccese","10.52","12.8","10.48","11.14",
"075052","Nardò","9.14","11.59","9.92","12.74",
"075053","Neviano","12.54","13.32","12.7","14.8",
"075054","Nociglia","9.71","9.4","13.81","10.01",
"075055","Novoli","14.12","12.4","12.58","15.53",
"075056","Ortelle","9.45","13.39","12.93","14.36",
"075057","Otranto","7.03","6.99","9.06","8.49",
"075058","Palmariggi","9.14","12.48","10.62","13.37",
"075059","Parabita","12.1","12.38","12.02","12.66",
"075060","Patù","11.24","10.64","14.22","14.77",
"075061","Poggiardo","11","11.32","11.67","12.45",
"075062","Presicce","10.37","12.83","13.72","16.92",
"075063","Racale","7.47","9.38","8.21","8.74",
"075064","Ruffano","9.15","9.37","10.73","10.05",
"075065","Salice Salentino","9.68","12.38","12.61","11.49",
"075066","Salve","11.98","12.83","9.91","15.64",
"075067","Sanarica","13.61","12.19","8.78","9.45",
"075068","San Cesario di Lecce","9.58","11.09","10.18","9.39",
"075069","San Donato di Lecce","11","11.64","9.63","9.86",
"075070","Sannicola","11.6","13.04","11.53","14.78",
"075071","San Pietro in Lama","9.75","11.23","12.08","11.84",
"075072","Santa Cesarea Terme","10.23","6.63","9.61","16.23",
"075073","Scorrano","8.41","7.28","9.86","8.31",
"075074","Seclì","8.93","14.81","7.43","16.99",
"075075","Sogliano Cavour","12.72","10.82","8.47","12.67",
"075076","Soleto","9.59","11.09","10.97","13.62",
"075077","Specchia","10.1","11.22","10.23","12.17",
"075078","Spongano","10.67","13.92","9.7","12.5",
"075079","Squinzano","10.97","11.5","10.67","12.16",
"075080","Sternatia","13.98","14.97","14.31","13.18",
"075081","Supersano","8.43","9.8","10.57","11.56",
"075082","Surano","8.23","12.57","9.7","12.19",
"075083","Surbo","6.69","7.07","7.79","8.13",
"075084","Taurisano","8.71","8.36","6.22","9.9",
"075085","Taviano","10.37","10.78","8.81","10.22",
